a,aaac2b1
bd321ac,ca123db
bd321ca,ac123db
bd32ca1,1ac23db
bd32c1a,a1c23db
bd3ca12,21ac3db
bd3ca21,12ac3db
bd3c1a2,2a1c3db
bd3c12a,a21c3db
bd3c2a1,1a2c3db
bd3c21a,a12c3db
2a1bc3d,d3cb1a2
2a1bcd3,3dcb1a2
2a1b3cd,dc3b1a2
2a1b3dc,cd3b1a2
2a1bdc3,3cdb1a2
2a1bd3c,c3db1a2
2a1cb3d,d3bc1a2
2a1cbd3,3dbc1a2
2a1c3bd,db3c1a2
2a1c3db,bd3c1a2
2a1cdb3,3bdc1a2
2a1cd3b,b3dc1a2
2a13bcd,dcb31a2
2a13bdc,cdb31a2
2a13cbd,dbc31a2
2a13cdb,bdc31a2
2a13dbc,cbd31a2
2a13dcb,bcd31a2
2a1dbc3,3cbd1a2
2a1db3c,c3bd1a2
2a1dcb3,3bcd1a2
2a1dc3b,b3cd1a2
2a1d3bc,cb3d1a2
2a1d3cb,bc3d1a2
2ab1c3d,d3c1ba2
2ab1cd3,3dc1ba2
2ab13cd,dc31ba2
2ab13dc,cd31ba2
2ab1dc3,3cd1ba2
2ab1d3c,c3d1ba2
2abc13d,d31cba2
2abc1d3,3d1cba2
2abc31d,d13cba2
2abc3d1,1d3cba2
2abcd13,31dcba2
2abcd31,13dcba2
2ab31cd,dc13ba2
2ab31dc,cd13ba2
2ab3c1d,d1c3ba2
2ab3cd1,1dc3ba2
2ab3d1c,c1d3ba2
2ab3dc1,1cd3ba2
2abd1c3,3c1dba2
2abd13c,c31dba2
2abdc13,31cdba2
2abdc31,13cdba2
2abd31c,c13dba2
2abd3c1,1c3dba2
2ac1b3d,d3b1ca2
2ac1bd3,3db1ca2
2ac13bd,db31ca2
2ac13db,bd31ca2
2ac1db3,3bd1ca2
2ac1d3b,b3d1ca2
2acb13d,d31bca2
2acb1d3,3d1bca2
2acb31d,d13bca2
2acb3d1,1d3bca2
2acbd13,31dbca2
2acbd31,13dbca2
2ac31bd,db13ca2
2ac31db,bd13ca2
2ac3b1d,d1b3ca2
2ac3bd1,1db3ca2
2ac3d1b,b1d3ca2
2ac3db1,1bd3ca2
2acd1b3,3b1dca2
2acd13b,b31dca2
2acdb13,31bdca2
2acdb31,13bdca2
2acd31b,b13dca2
2acd3b1,1b3dca2
2a31bcd,dcb13a2
2a31bdc,cdb13a2
2a31cbd,dbc13a2
2a31cdb,bdc13a2
2a31dbc,cbd13a2
2a31dcb,bcd13a2
2a3b1cd,dc1b3a2
2a3b1dc,cd1b3a2
2a3bc1d,d1cb3a2
2a3bcd1,1dcb3a2
2a3bd1c,c1db3a2
2a3bdc1,1cdb3a2
2a3c1bd,db1c3a2
2a3c1db,bd1c3a2
2a3cb1d,d1bc3a2
2a3cbd1,1dbc3a2
2a3cd1b,b1dc3a2
2a3cdb1,1bdc3a2
2a3d1bc,cb1d3a2
2a3d1cb,bc1d3a2
2a3db1c,c1bd3a2
2a3dbc1,1cbd3a2
2a3dc1b,b1cd3a2
2a3dcb1,1bcd3a2
2ad1bc3,3cb1da2
2ad1b3c,c3b1da2
2ad1cb3,3bc1da2
2ad1c3b,b3c1da2
2ad13bc,cb31da2
2ad13cb,bc31da2
2adb1c3,3c1bda2
2adb13c,c31bda2
2adbc13,31cbda2
2adbc31,13cbda2
2adb31c,c13bda2
2adb3c1,1c3bda2
2adc1b3,3b1cda2
2adc13b,b31cda2
2adcb13,31bcda2
2adcb31,13bcda2
2adc31b,b13cda2
2adc3b1,1b3cda2
2ad31bc,cb13da2
2ad31cb,bc13da2
2ad3b1c,c1b3da2
2ad3bc1,1cb3da2
2ad3c1b,b1c3da2
2ad3cb1,1bc3da2
21abc3d,d3cba12
21abcd3,3dcba12
21ab3cd,dc3ba12
21ab3dc,cd3ba12
21abdc3,3cdba12
21abd3c,c3dba12
21acb3d,d3bca12
21acbd3,3dbca12
21ac3bd,db3ca12
21ac3db,bd3ca12
21acdb3,3bdca12
21acd3b,b3dca12
21a3bcd,dcb3a12
21a3bdc,cdb3a12
21a3cbd,dbc3a12
21a3cdb,bdc3a12
21a3dbc,cbd3a12
21a3dcb,bcd3a12
21adbc3,3cbda12
21adb3c,c3bda12
21adcb3,3bcda12
21adc3b,b3cda12
21ad3bc,cb3da12
21ad3cb,bc3da12
21bac3d,d3cab12
21bacd3,3dcab12
21ba3cd,dc3ab12
21ba3dc,cd3ab12
21badc3,3cdab12
21bad3c,c3dab12
21bca3d,d3acb12
21bcad3,3dacb12
21bc3ad,da3cb12
21bc3da,ad3cb12
21bcda3,3adcb12
21bcd3a,a3dcb12
21b3acd,dca3b12
21b3adc,cda3b12
21b3cad,dac3b12
21b3cda,adc3b12
21b3dac,cad3b12
21b3dca,acd3b12
21bdac3,3cadb12
21bda3c,c3adb12
21bdca3,3acdb12
21bdc3a,a3cdb12
21bd3ac,ca3db12
21bd3ca,ac3db12
21cab3d,d3bac12
21cabd3,3dbac12
21ca3bd,db3ac12
21ca3db,bd3ac12
21cadb3,3bdac12
21cad3b,b3dac12
21cba3d,d3abc12
21cbad3,3dabc12
21cb3ad,da3bc12
21cb3da,ad3bc12
21cbda3,3adbc12
21cbd3a,a3dbc12
21c3abd,dba3c12
21c3adb,bda3c12
21c3bad,dab3c12
21c3bda,adb3c12
21c3dab,bad3c12
21c3dba,abd3c12
21cdab3,3badc12
21cda3b,b3adc12
21cdba3,3abdc12
21cdb3a,a3bdc12
21cd3ab,ba3dc12
21cd3ba,ab3dc12
213abcd,dcba312
213abdc,cdba312
213acbd,dbca312
213acdb,bdca312
213adbc,cbda312
213adcb,bcda312
213bacd,dcab312
213badc,cdab312
213bcad,dacb312
213bcda,adcb312
213bdac,cadb312
213bdca,acdb312
213cabd,dbac312
213cadb,bdac312
213cbad,dabc312
213cbda,adbc312
213cdab,badc312
213cdba,abdc312
213dabc,cbad312
213dacb,bcad312
213dbac,cabd312
213dbca,acbd312
213dcab,bacd312
213dcba,abcd312
21dabc3,3cbad12
21dab3c,c3bad12
21dacb3,3bcad12
21dac3b,b3cad12
21da3bc,cb3ad12
21da3cb,bc3ad12
21dbac3,3cabd12
21dba3c,c3abd12
21dbca3,3acbd12
21dbc3a,a3cbd12
21db3ac,ca3bd12
21db3ca,ac3bd12
21dcab3,3bacd12
21dca3b,b3acd12
21dcba3,3abcd12
21dcb3a,a3bcd12
21dc3ab,ba3cd12
21dc3ba,ab3cd12
21d3abc,cba3d12
21d3acb,bca3d12
21d3bac,cab3d12
21d3bca,acb3d12
21d3cab,bac3d12
21d3cba,abc3d12
2ba1c3d,d3c1ab2
2ba1cd3,3dc1ab2
2ba13cd,dc31ab2
2ba13dc,cd31ab2
2ba1dc3,3cd1ab2
2ba1d3c,c3d1ab2
2bac13d,d31cab2
2bac1d3,3d1cab2
2bac31d,d13cab2
2bac3d1,1d3cab2
2bacd13,31dcab2
2bacd31,13dcab2
2ba31cd,dc13ab2
2ba31dc,cd13ab2
2ba3c1d,d1c3ab2
2ba3cd1,1dc3ab2
2ba3d1c,c1d3ab2
2ba3dc1,1cd3ab2
2bad1c3,3c1dab2
2bad13c,c31dab2
2badc13,31cdab2
2badc31,13cdab2
2bad31c,c13dab2
2bad3c1,1c3dab2
2b1ac3d,d3ca1b2
2b1acd3,3dca1b2
2b1a3cd,dc3a1b2
2b1a3dc,cd3a1b2
2b1adc3,3cda1b2
2b1ad3c,c3da1b2
2b1ca3d,d3ac1b2
2b1cad3,3dac1b2
2b1c3ad,da3c1b2
2b1c3da,ad3c1b2
2b1cda3,3adc1b2
2b1cd3a,a3dc1b2
2b13acd,dca31b2
2b13adc,cda31b2
2b13cad,dac31b2
2b13cda,adc31b2
2b13dac,cad31b2
2b13dca,acd31b2
2b1dac3,3cad1b2
2b1da3c,c3ad1b2
2b1dca3,3acd1b2
2b1dc3a,a3cd1b2
2b1d3ac,ca3d1b2
2b1d3ca,ac3d1b2
2bca13d,d31acb2
2bca1d3,3d1acb2
2bca31d,d13acb2
2bca3d1,1d3acb2
2bcad13,31dacb2
2bcad31,13dacb2
2bc1a3d,d3a1cb2
2bc1ad3,3da1cb2
2bc13ad,da31cb2
2bc13da,ad31cb2
2bc1da3,3ad1cb2
2bc1d3a,a3d1cb2
2bc3a1d,d1a3cb2
2bc3ad1,1da3cb2
2bc31ad,da13cb2
2bc31da,ad13cb2
2bc3da1,1ad3cb2
2bc3d1a,a1d3cb2
2bcda13,31adcb2
2bcda31,13adcb2
2bcd1a3,3a1dcb2
2bcd13a,a31dcb2
2bcd3a1,1a3dcb2
2bcd31a,a13dcb2
2b3a1cd,dc1a3b2
2b3a1dc,cd1a3b2
2b3ac1d,d1ca3b2
2b3acd1,1dca3b2
2b3ad1c,c1da3b2
2b3adc1,1cda3b2
2b31acd,dca13b2
2b31adc,cda13b2
2b31cad,dac13b2
2b31cda,adc13b2
2b31dac,cad13b2
2b31dca,acd13b2
2b3ca1d,d1ac3b2
2b3cad1,1dac3b2
2b3c1ad,da1c3b2
2b3c1da,ad1c3b2
2b3cda1,1adc3b2
2b3cd1a,a1dc3b2
2b3da1c,c1ad3b2
2b3dac1,1cad3b2
2b3d1ac,ca1d3b2
2b3d1ca,ac1d3b2
2b3dca1,1acd3b2
2b3dc1a,a1cd3b2
2bda1c3,3c1adb2
2bda13c,c31adb2
2bdac13,31cadb2
2bdac31,13cadb2
2bda31c,c13adb2
2bda3c1,1c3adb2
2bd1ac3,3ca1db2
2bd1a3c,c3a1db2
2bd1ca3,3ac1db2
2bd1c3a,a3c1db2
2bd13ac,ca31db2
2bd13ca,ac31db2
2bdca13,31acdb2
2bdca31,13acdb2
2bdc1a3,3a1cdb2
2bdc13a,a31cdb2
2bdc3a1,1a3cdb2
2bdc31a,a13cdb2
2bd3a1c,c1a3db2
2bd3ac1,1ca3db2
2bd31ac,ca13db2
2bd31ca,ac13db2
2bd3ca1,1ac3db2
2bd3c1a,a1c3db2
2ca1b3d,d3b1ac2
2ca1bd3,3db1ac2
2ca13bd,db31ac2
2ca13db,bd31ac2
2ca1db3,3bd1ac2
2ca1d3b,b3d1ac2
2cab13d,d31bac2
2cab1d3,3d1bac2
2cab31d,d13bac2
2cab3d1,1d3bac2
2cabd13,31dbac2
2cabd31,13dbac2
2ca31bd,db13ac2
2ca31db,bd13ac2
2ca3b1d,d1b3ac2
2ca3bd1,1db3ac2
2ca3d1b,b1d3ac2
2ca3db1,1bd3ac2
2cad1b3,3b1dac2
2cad13b,b31dac2
2cadb13,31bdac2
2cadb31,13bdac2
2cad31b,b13dac2
2cad3b1,1b3dac2
2c1ab3d,d3ba1c2
2c1abd3,3dba1c2
2c1a3bd,db3a1c2
2c1a3db,bd3a1c2
2c1adb3,3bda1c2
2c1ad3b,b3da1c2
2c1ba3d,d3ab1c2
2c1bad3,3dab1c2
2c1b3ad,da3b1c2
2c1b3da,ad3b1c2
2c1bda3,3adb1c2
2c1bd3a,a3db1c2
2c13abd,dba31c2
2c13adb,bda31c2
2c13bad,dab31c2
2c13bda,adb31c2
2c13dab,bad31c2
2c13dba,abd31c2
2c1dab3,3bad1c2
2c1da3b,b3ad1c2
2c1dba3,3abd1c2
2c1db3a,a3bd1c2
2c1d3ab,ba3d1c2
2c1d3ba,ab3d1c2
2cba13d,d31abc2
2cba1d3,3d1abc2
2cba31d,d13abc2
2cba3d1,1d3abc2
2cbad13,31dabc2
2cbad31,13dabc2
2cb1a3d,d3a1bc2
2cb1ad3,3da1bc2
2cb13ad,da31bc2
2cb13da,ad31bc2
2cb1da3,3ad1bc2
2cb1d3a,a3d1bc2
2cb3a1d,d1a3bc2
2cb3ad1,1da3bc2
2cb31ad,da13bc2
2cb31da,ad13bc2
2cb3da1,1ad3bc2
2cb3d1a,a1d3bc2
2cbda13,31adbc2
2cbda31,13adbc2
2cbd1a3,3a1dbc2
2cbd13a,a31dbc2
2cbd3a1,1a3dbc2
2cbd31a,a13dbc2
2c3a1bd,db1a3c2
2c3a1db,bd1a3c2
2c3ab1d,d1ba3c2
2c3abd1,1dba3c2
2c3ad1b,b1da3c2
2c3adb1,1bda3c2
2c31abd,dba13c2
2c31adb,bda13c2
2c31bad,dab13c2
2c31bda,adb13c2
2c31dab,bad13c2
2c31dba,abd13c2
2c3ba1d,d1ab3c2
2c3bad1,1dab3c2
2c3b1ad,da1b3c2
2c3b1da,ad1b3c2
2c3bda1,1adb3c2
2c3bd1a,a1db3c2
2c3da1b,b1ad3c2
2c3dab1,1bad3c2
2c3d1ab,ba1d3c2
2c3d1ba,ab1d3c2
2c3dba1,1abd3c2
2c3db1a,a1bd3c2
2cda1b3,3b1adc2
2cda13b,b31adc2
2cdab13,31badc2
2cdab31,13badc2
2cda31b,b13adc2
2cda3b1,1b3adc2
2cd1ab3,3ba1dc2
2cd1a3b,b3a1dc2
2cd1ba3,3ab1dc2
2cd1b3a,a3b1dc2
2cd13ab,ba31dc2
2cd13ba,ab31dc2
2cdba13,31abdc2
2cdba31,13abdc2
2cdb1a3,3a1bdc2
2cdb13a,a31bdc2
2cdb3a1,1a3bdc2
2cdb31a,a13bdc2
2cd3a1b,b1a3dc2
2cd3ab1,1ba3dc2
2cd31ab,ba13dc2
2cd31ba,ab13dc2
2cd3ba1,1ab3dc2
2cd3b1a,a1b3dc2
23a1bcd,dcb1a32
23a1bdc,cdb1a32
23a1cbd,dbc1a32
23a1cdb,bdc1a32
23a1dbc,cbd1a32
23a1dcb,bcd1a32
23ab1cd,dc1ba32
23ab1dc,cd1ba32
23abc1d,d1cba32
23abcd1,1dcba32
23abd1c,c1dba32
23abdc1,1cdba32
23ac1bd,db1ca32
23ac1db,bd1ca32
23acb1d,d1bca32
23acbd1,1dbca32
23acd1b,b1dca32
23acdb1,1bdca32
23ad1bc,cb1da32
23ad1cb,bc1da32
23adb1c,c1bda32
23adbc1,1cbda32
23adc1b,b1cda32
23adcb1,1bcda32
231abcd,dcba132
231abdc,cdba132
231acbd,dbca132
231acdb,bdca132
231adbc,cbda132
231adcb,bcda132
231bacd,dcab132
231badc,cdab132
231bcad,dacb132
231bcda,adcb132
231bdac,cadb132
231bdca,acdb132
231cabd,dbac132
231cadb,bdac132
231cbad,dabc132
231cbda,adbc132
231cdab,badc132
231cdba,abdc132
231dabc,cbad132
231dacb,bcad132
231dbac,cabd132
231dbca,acbd132
231dcab,bacd132
231dcba,abcd132
23ba1cd,dc1ab32
23ba1dc,cd1ab32
23bac1d,d1cab32
23bacd1,1dcab32
23bad1c,c1dab32
23badc1,1cdab32
23b1acd,dca1b32
23b1adc,cda1b32
23b1cad,dac1b32
23b1cda,adc1b32
23b1dac,cad1b32
23b1dca,acd1b32
23bca1d,d1acb32
23bcad1,1dacb32
23bc1ad,da1cb32
23bc1da,ad1cb32
23bcda1,1adcb32
23bcd1a,a1dcb32
23bda1c,c1adb32
23bdac1,1cadb32
23bd1ac,ca1db32
23bd1ca,ac1db32
23bdca1,1acdb32
23bdc1a,a1cdb32
23ca1bd,db1ac32
23ca1db,bd1ac32
23cab1d,d1bac32
23cabd1,1dbac32
23cad1b,b1dac32
23cadb1,1bdac32
23c1abd,dba1c32
23c1adb,bda1c32
23c1bad,dab1c32
23c1bda,adb1c32
23c1dab,bad1c32
23c1dba,abd1c32
23cba1d,d1abc32
23cbad1,1dabc32
23cb1ad,da1bc32
23cb1da,ad1bc32
23cbda1,1adbc32
23cbd1a,a1dbc32
23cda1b,b1adc32
23cdab1,1badc32
23cd1ab,ba1dc32
23cd1ba,ab1dc32
23cdba1,1abdc32
23cdb1a,a1bdc32
23da1bc,cb1ad32
23da1cb,bc1ad32
23dab1c,c1bad32
23dabc1,1cbad32
23dac1b,b1cad32
23dacb1,1bcad32
23d1abc,cba1d32
23d1acb,bca1d32
23d1bac,cab1d32
23d1bca,acb1d32
23d1cab,bac1d32
23d1cba,abc1d32
23dba1c,c1abd32
23dbac1,1cabd32
23db1ac,ca1bd32
23db1ca,ac1bd32
23dbca1,1acbd32
23dbc1a,a1cbd32
23dca1b,b1acd32
23dcab1,1bacd32
23dc1ab,ba1cd32
23dc1ba,ab1cd32
23dcba1,1abcd32
23dcb1a,a1bcd32
2da1bc3,3cb1ad2
2da1b3c,c3b1ad2
2da1cb3,3bc1ad2
2da1c3b,b3c1ad2
2da13bc,cb31ad2
2da13cb,bc31ad2
2dab1c3,3c1bad2
2dab13c,c31bad2
2dabc13,31cbad2
2dabc31,13cbad2
2dab31c,c13bad2
2dab3c1,1c3bad2
2dac1b3,3b1cad2
2dac13b,b31cad2
2dacb13,31bcad2
2dacb31,13bcad2
2dac31b,b13cad2
2dac3b1,1b3cad2
2da31bc,cb13ad2
2da31cb,bc13ad2
2da3b1c,c1b3ad2
2da3bc1,1cb3ad2
2da3c1b,b1c3ad2
2da3cb1,1bc3ad2
2d1abc3,3cba1d2
2d1ab3c,c3ba1d2
2d1acb3,3bca1d2
2d1ac3b,b3ca1d2
2d1a3bc,cb3a1d2
2d1a3cb,bc3a1d2
2d1bac3,3cab1d2
2d1ba3c,c3ab1d2
2d1bca3,3acb1d2
2d1bc3a,a3cb1d2
2d1b3ac,ca3b1d2
2d1b3ca,ac3b1d2
2d1cab3,3bac1d2
2d1ca3b,b3ac1d2
2d1cba3,3abc1d2
2d1cb3a,a3bc1d2
2d1c3ab,ba3c1d2
2d1c3ba,ab3c1d2
2d13abc,cba31d2
2d13acb,bca31d2
2d13bac,cab31d2
2d13bca,acb31d2
2d13cab,bac31d2
2d13cba,abc31d2
2dba1c3,3c1abd2
2dba13c,c31abd2
2dbac13,31cabd2
2dbac31,13cabd2
2dba31c,c13abd2
2dba3c1,1c3abd2
2db1ac3,3ca1bd2
2db1a3c,c3a1bd2
2db1ca3,3ac1bd2
2db1c3a,a3c1bd2
2db13ac,ca31bd2
2db13ca,ac31bd2
2dbca13,31acbd2
2dbca31,13acbd2
2dbc1a3,3a1cbd2
2dbc13a,a31cbd2
2dbc3a1,1a3cbd2
2dbc31a,a13cbd2
2db3a1c,c1a3bd2
2db3ac1,1ca3bd2
2db31ac,ca13bd2
2db31ca,ac13bd2
2db3ca1,1ac3bd2
2db3c1a,a1c3bd2
2dca1b3,3b1acd2
2dca13b,b31acd2
2dcab13,31bacd2
2dcab31,13bacd2
2dca31b,b13acd2
2dca3b1,1b3acd2
2dc1ab3,3ba1cd2
2dc1a3b,b3a1cd2
2dc1ba3,3ab1cd2
2dc1b3a,a3b1cd2
2dc13ab,ba31cd2
2dc13ba,ab31cd2
2dcba13,31abcd2
2dcba31,13abcd2
2dcb1a3,3a1bcd2
2dcb13a,a31bcd2
2dcb3a1,1a3bcd2
2dcb31a,a13bcd2
2dc3a1b,b1a3cd2
2dc3ab1,1ba3cd2
2dc31ab,ba13cd2
2dc31ba,ab13cd2
2dc3ba1,1ab3cd2
2dc3b1a,a1b3cd2
2d3a1bc,cb1a3d2
2d3a1cb,bc1a3d2
2d3ab1c,c1ba3d2
2d3abc1,1cba3d2
2d3ac1b,b1ca3d2
2d3acb1,1bca3d2
2d31abc,cba13d2
2d31acb,bca13d2
2d31bac,cab13d2
2d31bca,acb13d2
2d31cab,bac13d2
2d31cba,abc13d2
2d3ba1c,c1ab3d2
2d3bac1,1cab3d2
2d3b1ac,ca1b3d2
2d3b1ca,ac1b3d2
2d3bca1,1acb3d2
2d3bc1a,a1cb3d2
2d3ca1b,b1ac3d2
2d3cab1,1bac3d2
2d3c1ab,ba1c3d2
2d3c1ba,ab1c3d2
2d3cba1,1abc3d2
2d3cb1a,a1bc3d2
ca1b23d,d32b1ac
ca1b2d3,3d2b1ac
ca1b32d,d23b1ac
ca1b3d2,2d3b1ac
ca1bd23,32db1ac
ca1bd32,23db1ac
ca12b3d,d3b21ac
ca12bd3,3db21ac
ca123bd,db321ac
ca123db,bd321ac
ca12db3,3bd21ac
ca12d3b,b3d21ac
ca13b2d,d2b31ac
ca13bd2,2db31ac
ca132bd,db231ac
ca132db,bd231ac
ca13db2,2bd31ac
ca13d2b,b2d31ac
ca1db23,32bd1ac
ca1db32,23bd1ac
ca1d2b3,3b2d1ac
ca1d23b,b32d1ac
ca1d3b2,2b3d1ac
ca1d32b,b23d1ac
cab123d,d321bac
cab12d3,3d21bac
cab132d,d231bac
cab13d2,2d31bac
cab1d23,32d1bac
cab1d32,23d1bac
cab213d,d312bac
cab21d3,3d12bac
cab231d,d132bac
cab23d1,1d32bac
cab2d13,31d2bac
cab2d31,13d2bac
cab312d,d213bac
cab31d2,2d13bac
cab321d,d123bac
cab32d1,1d23bac
cab3d12,21d3bac
cab3d21,12d3bac
cabd123,321dbac
cabd132,231dbac
cabd213,312dbac
cabd231,132dbac
cabd312,213dbac
cabd321,123dbac
ca21b3d,d3b12ac
ca21bd3,3db12ac
ca213bd,db312ac
ca213db,bd312ac
ca21db3,3bd12ac
ca21d3b,b3d12ac
ca2b13d,d31b2ac
ca2b1d3,3d1b2ac
ca2b31d,d13b2ac
ca2b3d1,1d3b2ac
ca2bd13,31db2ac
ca2bd31,13db2ac
ca231bd,db132ac
ca231db,bd132ac
ca23b1d,d1b32ac
ca23bd1,1db32ac
ca23d1b,b1d32ac
ca23db1,1bd32ac
ca2d1b3,3b1d2ac
ca2d13b,b31d2ac
ca2db13,31bd2ac
ca2db31,13bd2ac
ca2d31b,b13d2ac
ca2d3b1,1b3d2ac
ca31b2d,d2b13ac
ca31bd2,2db13ac
ca312bd,db213ac
ca312db,bd213ac
ca31db2,2bd13ac
ca31d2b,b2d13ac
ca3b12d,d21b3ac
ca3b1d2,2d1b3ac
ca3b21d,d12b3ac
ca3b2d1,1d2b3ac
ca3bd12,21db3ac
ca3bd21,12db3ac
ca321bd,db123ac
ca321db,bd123ac
ca32b1d,d1b23ac
ca32bd1,1db23ac
ca32d1b,b1d23ac
ca32db1,1bd23ac
ca3d1b2,2b1d3ac
ca3d12b,b21d3ac
ca3db12,21bd3ac
ca3db21,12bd3ac
ca3d21b,b12d3ac
ca3d2b1,1b2d3ac
cad1b23,32b1dac
cad1b32,23b1dac
cad12b3,3b21dac
cad123b,b321dac
cad13b2,2b31dac
cad132b,b231dac
cadb123,321bdac
cadb132,231bdac
cadb213,312bdac
cadb231,132bdac
cadb312,213bdac
cadb321,123bdac
cad21b3,3b12dac
cad213b,b312dac
cad2b13,31b2dac
cad2b31,13b2dac
cad231b,b132dac
cad23b1,1b32dac
cad31b2,2b13dac
cad312b,b213dac
cad3b12,21b3dac
cad3b21,12b3dac
cad321b,b123dac
cad32b1,1b23dac
c1ab23d,d32ba1c
c1ab2d3,3d2ba1c
c1ab32d,d23ba1c
c1ab3d2,2d3ba1c
c1abd23,32dba1c
c1abd32,23dba1c
c1a2b3d,d3b2a1c
c1a2bd3,3db2a1c
c1a23bd,db32a1c
c1a23db,bd32a1c
c1a2db3,3bd2a1c
c1a2d3b,b3d2a1c
c1a3b2d,d2b3a1c
c1a3bd2,2db3a1c
c1a32bd,db23a1c
c1a32db,bd23a1c
c1a3db2,2bd3a1c
c1a3d2b,b2d3a1c
c1adb23,32bda1c
c1adb32,23bda1c
c1ad2b3,3b2da1c
c1ad23b,b32da1c
c1ad3b2,2b3da1c
c1ad32b,b23da1c
c1ba23d,d32ab1c
c1ba2d3,3d2ab1c
c1ba32d,d23ab1c
c1ba3d2,2d3ab1c
c1bad23,32dab1c
c1bad32,23dab1c
c1b2a3d,d3a2b1c
c1b2ad3,3da2b1c
c1b23ad,da32b1c
c1b23da,ad32b1c
c1b2da3,3ad2b1c
c1b2d3a,a3d2b1c
c1b3a2d,d2a3b1c
c1b3ad2,2da3b1c
c1b32ad,da23b1c
c1b32da,ad23b1c
c1b3da2,2ad3b1c
c1b3d2a,a2d3b1c
c1bda23,32adb1c
c1bda32,23adb1c
c1bd2a3,3a2db1c
c1bd23a,a32db1c
c1bd3a2,2a3db1c
c1bd32a,a23db1c
c12ab3d,d3ba21c
c12abd3,3dba21c
c12a3bd,db3a21c
c12a3db,bd3a21c
c12adb3,3bda21c
c12ad3b,b3da21c
c12ba3d,d3ab21c
c12bad3,3dab21c
c12b3ad,da3b21c
c12b3da,ad3b21c
c12bda3,3adb21c
c12bd3a,a3db21c
c123abd,dba321c
c123adb,bda321c
c123bad,dab321c
c123bda,adb321c
c123dab,bad321c
c123dba,abd321c
c12dab3,3bad21c
c12da3b,b3ad21c
c12dba3,3abd21c
c12db3a,a3bd21c
c12d3ab,ba3d21c
c12d3ba,ab3d21c
c13ab2d,d2ba31c
c13abd2,2dba31c
c13a2bd,db2a31c
c13a2db,bd2a31c
c13adb2,2bda31c
c13ad2b,b2da31c
c13ba2d,d2ab31c
c13bad2,2dab31c
c13b2ad,da2b31c
c13b2da,ad2b31c
c13bda2,2adb31c
c13bd2a,a2db31c
c132abd,dba231c
c132adb,bda231c
c132bad,dab231c
c132bda,adb231c
c132dab,bad231c
c132dba,abd231c
c13dab2,2bad31c
c13da2b,b2ad31c
c13dba2,2abd31c
c13db2a,a2bd31c
c13d2ab,ba2d31c
c13d2ba,ab2d31c
c1dab23,32bad1c
c1dab32,23bad1c
c1da2b3,3b2ad1c
c1da23b,b32ad1c
c1da3b2,2b3ad1c
c1da32b,b23ad1c
c1dba23,32abd1c
c1dba32,23abd1c
c1db2a3,3a2bd1c
c1db23a,a32bd1c
c1db3a2,2a3bd1c
c1db32a,a23bd1c
c1d2ab3,3ba2d1c
c1d2a3b,b3a2d1c
c1d2ba3,3ab2d1c
c1d2b3a,a3b2d1c
c1d23ab,ba32d1c
c1d23ba,ab32d1c
c1d3ab2,2ba3d1c
c1d3a2b,b2a3d1c
c1d3ba2,2ab3d1c
c1d3b2a,a2b3d1c
c1d32ab,ba23d1c
c1d32ba,ab23d1c
cba123d,d321abc
cba12d3,3d21abc
cba132d,d231abc
cba13d2,2d31abc
cba1d23,32d1abc
cba1d32,23d1abc
cba213d,d312abc
cba21d3,3d12abc
cba231d,d132abc
cba23d1,1d32abc
cba2d13,31d2abc
cba2d31,13d2abc
cba312d,d213abc
cba31d2,2d13abc
cba321d,d123abc
cba32d1,1d23abc
cba3d12,21d3abc
cba3d21,12d3abc
cbad123,321dabc
cbad132,231dabc
cbad213,312dabc
cbad231,132dabc
cbad312,213dabc
cbad321,123dabc
cb1a23d,d32a1bc
cb1a2d3,3d2a1bc
cb1a32d,d23a1bc
cb1a3d2,2d3a1bc
cb1ad23,32da1bc
cb1ad32,23da1bc
cb12a3d,d3a21bc
cb12ad3,3da21bc
cb123ad,da321bc
cb123da,ad321bc
cb12da3,3ad21bc
cb12d3a,a3d21bc
cb13a2d,d2a31bc
cb13ad2,2da31bc
cb132ad,da231bc
cb132da,ad231bc
cb13da2,2ad31bc
cb13d2a,a2d31bc
cb1da23,32ad1bc
cb1da32,23ad1bc
cb1d2a3,3a2d1bc
cb1d23a,a32d1bc
cb1d3a2,2a3d1bc
cb1d32a,a23d1bc
cb2a13d,d31a2bc
cb2a1d3,3d1a2bc
cb2a31d,d13a2bc
cb2a3d1,1d3a2bc
cb2ad13,31da2bc
cb2ad31,13da2bc
cb21a3d,d3a12bc
cb21ad3,3da12bc
cb213ad,da312bc
cb213da,ad312bc
cb21da3,3ad12bc
cb21d3a,a3d12bc
cb23a1d,d1a32bc
cb23ad1,1da32bc
cb231ad,da132bc
cb231da,ad132bc
cb23da1,1ad32bc
cb23d1a,a1d32bc
cb2da13,31ad2bc
cb2da31,13ad2bc
cb2d1a3,3a1d2bc
cb2d13a,a31d2bc
cb2d3a1,1a3d2bc
cb2d31a,a13d2bc
cb3a12d,d21a3bc
cb3a1d2,2d1a3bc
cb3a21d,d12a3bc
cb3a2d1,1d2a3bc
cb3ad12,21da3bc
cb3ad21,12da3bc
cb31a2d,d2a13bc
cb31ad2,2da13bc
cb312ad,da213bc
cb312da,ad213bc
cb31da2,2ad13bc
